(4bb,cf5) (9a7,cf5)
(f99,13a5) (dad,13a5)
(21d,2fb) (6d,2fb)
(5b,11f) (d3,11f)
(809,9bb) (7c1,9bb)
(15bf,1ccd) (1bbf,1ccd)
(1b,fd) (a3,fd)
(41b,a27) (d3,a27)
(3d7,a8d) (407,a8d)
(113,1687) (51b,1687)
(2723,3515) (2da7,3515)
(9b3,bed) (abb,bed)
(71,203) (41,203)
(7ff,daf) (a3f,daf)
(32f,3b5) (14f,3b5)
(6cb,2165) (1a0f,2165)
(c83,1457) (6b,1457)
(277,40d) (187,40d)
(145,2db) (18d,2db)
(14e7,1c91) (8b7,1c91)
(ad5,1811) (72d,1811)
(47f,1219) (bff,1219)
(799,1d5f) (1369,1d5f)
(da5,1def) (ded,1def)
(78d,845) (445,845)
(149f,2b01) (77f,2b01)
(7f,193) (157,193)
(83d,ccd) (b95,ccd)
(c1,fd) (39,fd)
(99,3d3) (359,3d3)
(59,d09) (711,d09)
(3ab,c37) (9e3,c37)
(331,ddf) (8e9,ddf)
(5a1,eb3) (8e9,eb3)
(cb,187) (a3,187)
(1511,191f) (779,191f)
(7f3,ad5) (437,ad5)
(a1,143) (a1,143)
(1af,26f) (1df,26f)
(191,217) (81,217)
(150d,1e3b) (1b9d,1e3b)
(11,fd) (d,fd)
(29f,104b) (d1f,104b)
(92b,2437) (17e3,2437)
(df,20f) (7f,20f)
(503,887) (53,887)
(361,8f3) (1c9,8f3)
(16f,245) (133,245)
(11,91) (21,91)
(72d,105d) (369,105d)
(341,56f) (71,56f)
(ce9,2bdb) (1589,2bdb)
(607,86f) (1b7,86f)
(1033,10f7) (f2b,10f7)
(491,126d) (cb1,126d)
(bf,205) (ab,205)
(29,55) (19,55)
(143,179) (9b,179)
(8af,2c95) (250f,2c95)
(679,c3b) (319,c3b)
(3b,217) (73,217)
(5d,cd) (75,cd)
(2d1,107f) (1e1,107f)
(247,2bf) (13f,2bf)
(c5,2b1) (25d,2b1)
(1879,22b1) (10ad,22b1)
(c81,d09) (b41,d09)
(59,485) (269,485)
(4cf,301f) (172f,301f)
(fd,1175) (e35,1175)
(a2d,105b) (6fd,105b)
(517,1def) (14a7,1def)
(65f,abb) (bf,abb)
(f77,1403) (74f,1403)
(39f,499) (107,499)
(a57,10f7) (ba7,10f7)
(827,1175) (1f7,1175)
(edb,2533) (1e73,2533)
(fb,289) (ab,289)
(251b,294d) (1393,294d)
(17,4d) (2f,4d)
(ecb,171d) (1363,171d)
(577,1747) (c7,1747)
